Year,Population
2015.08333, 20352.74589
2015.16667, 20289.91347
2015.25000, 20289.91347
2015.33333, 20164.24864
2015.41667, 20164.24864
2015.50000, 20101.41623
2015.58333, 20038.58381
2015.66667, 19912.91898
2015.75000, 19912.91898
2015.83333, 19912.91898
2015.91667, 19787.25415
2016.00000, 19724.42173
2016.08333, 19661.58932
2016.16667, 19661.58932
2016.25000, 19661.58932
2016.33333, 19661.58932
2016.41667, 19598.75690
2016.50000, 19535.92449
2016.58333, 19535.92449
2016.66667, 19473.09207
2016.75000, 19473.09207
2016.83333, 19410.25966
2016.91667, 19347.42724
2017.00000, 19347.42724
2017.08333, 19284.59483
2017.16667, 19221.76241
2017.25000, 19158.92999
2017.33333, 19158.92999
2017.41667, 19096.09758
2017.50000, 19033.26516
2017.58333, 19033.26516
2017.66667, 18907.60033
2017.75000, 18781.93550
2017.83333, 18781.93550
2017.91667, 18719.10309
2018.00000, 18656.27067
2018.08333, 18593.43826
2018.16667, 18530.60584
2018.25000, 18530.60584
2018.33333, 18530.60584
2018.41667, 18404.94101
2018.50000, 18404.94101
2018.58333, 18279.27618
2018.66667, 18216.44376
2018.75000, 18153.61135
2018.83333, 18153.61135
2018.91667, 18027.94652
2019.00000, 18027.94652
2019.08333, 17902.28169
2019.16667, 17902.28169
2019.25000, 17776.61686
2019.33333, 17650.95203
2019.41667, 17588.11961
2019.50000, 17462.45478
2019.58333, 17336.78995
2019.66667, 17211.12512
2019.75000, 17148.29270
2019.83333, 17022.62787
2019.91667, 17022.62787
2020.00000, 16896.96304
